;;Area (m^2);Voxels;Height;Direct sunlight;Noise;Distance to elderly housing (1=close);Functions on railway side (1=yes);View
;;;;;;;;;
Public Parking;;2502;278;-0,7;-1;1;0,7;0;-1
Private parking;;8001;889;-0,7;-1;1;0,7;0;-1
Public bike storage;;234;26;-1;-1;1;0,7;0;-1
Private bike storage;;1441;160;-1;-1;1;0,7;0;-1
Student Housing 8x;;4005;445;1;0;0,8;-1;1;0,6
Student Housing 4x;;3501;389;1;0;0,8;-1;1;0,5
Student Housing 1x;;2502;278;1;0;0,8;-1;1;0,4
Elderly housing;;12006;1334;-0,5;1;-1;1;-1;0,8
Outdoor elderly housing;;1008;112;-0,5;0;-1;1;-1;1
Starter housing;;14004;1556;0,5;1;-0,5;1;-1;0,8
Outdoor starter housing;;1008;112;0,5;1;-0,5;1;-1;1
Art gallery;;2007;223;-1;0,5;0;0;1;-0,4
Gym;;756;84;-0,8;-0,5;0,5;0;0;-0,4
Cafe;;207;23;-1;0,5;-0,5;0;0;0,6
Supermarket;;2502;278;-0,8;-1;0,2;0,8;0;-0,4
Lobby;;63;7;-1;0,5;0;;0;0,2
;;;;;;;;;
;;;;;;;;;
Voxel Size (m);;3x3x3;;;;;;;
Voxel area (m2);;9;;;;;;;
