Px,Py,Pz,Function,Acoustic,Sunlight,Daylight,ViewQuality,GroundLevel,ClosenessVegetation
0,0,0,Student_housing,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Starter_housing,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Assisted_housing,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Shops,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Startup_office,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Gym,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Community_centre,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Restaurant,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Co_cooking,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Library,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Cinematheque,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Café,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Arcade,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Fab_lab_workshop,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,Shared_working,0.1,0.1,0.1,0.1,0.1,0.1
