coo: 51.9255945_4.4753303;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2025-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;129.90;6.81;142.14;11.61;155.25;14.45;169.12;15.06;183.38;13.38;197.52;9.58;211.06;3.97;223.77;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;129.76;6.85;142.01;11.67;155.12;14.52;169.00;15.15;183.28;13.49;197.43;9.70;210.99;4.10;223.71;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.44;129.62;6.89;141.87;11.73;154.99;14.61;168.88;15.25;183.17;13.61;197.34;9.83;210.93;4.23;223.67;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.47;129.47;6.94;141.73;11.80;154.86;14.70;168.76;15.36;183.06;13.73;197.26;9.97;210.86;4.38;223.62;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.51;129.33;7.00;141.59;11.88;154.72;14.80;168.64;15.48;182.96;13.87;197.18;10.11;210.80;4.53;223.58;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.56;129.18;7.07;141.45;11.97;154.59;14.90;168.52;15.60;182.86;14.00;197.10;10.26;210.75;4.68;223.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.62;129.03;7.14;141.30;12.06;154.46;15.01;168.40;15.73;182.76;14.15;197.03;10.41;210.70;4.84;223.52;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.68;128.88;7.22;141.16;12.16;154.32;15.13;168.28;15.87;182.67;14.30;196.95;10.57;210.65;5.01;223.49;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.75;128.72;7.31;141.01;12.27;154.18;15.26;168.16;16.02;182.57;14.46;196.88;10.74;210.61;5.18;223.48;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.83;128.56;7.41;140.86;12.39;154.05;15.40;168.04;16.17;182.48;14.62;196.82;10.91;210.57;5.35;223.46;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
